,genes,importance
164,CD3G,0.026588014282662595
515,IL7R,0.02363812924558417
162,CD3D,0.02267133124945328
1013,RPS14,0.020971586277253835
1262,TRAT1,0.02026670758544146
1258,TRAC,0.01947620747260947
1274,TSHZ2,0.018090769941540113
961,RPL10,0.017464695274064003
984,RPL30,0.01688452729651377
119,CAMK4,0.015962708674586407
987,RPL34,0.015175099496934217
160,CD28,0.0148661107207908
1032,RPS4X,0.014733207929682569
902,RCAN3,0.013026093836524618
573,LEF1,0.012855022706819064
1030,RPS3,0.01254625576450172
315,EEF1A1,0.012501218397784189
521,INPP4B,0.011951182061359665
571,LDHB,0.010776651588106893
1017,RPS18,0.010771150056431965
966,RPL13,0.010498613926755284
80,BCL11B,0.010432659359191033
968,RPL14,0.009921138604228653
1006,RPL9,0.009316832446044513
1034,RPS6,0.009252914322827417
1014,RPS15A,0.009234581850275909
860,PRKCQ.AS1,0.009141229513322895
1025,RPS27A,0.008137427374537605
623,MAL,0.007657743404414466
1019,RPS2,0.0075771877308527845
1038,RPS8,0.0072081328933204705
983,RPL3,0.007121048171587549
1145,SOCS3,0.006726083898228801
974,RPL19,0.00655644135055344
964,RPL11,0.0065126295191553964
511,IL32,0.00641419888258854
1023,RPS25,0.006411246523889791
971,RPL18,0.0063441341310623775
1012,RPS13,0.006321164740036645
986,RPL32,0.00607556963096594
415,GAS5,0.006037279257499693
163,CD3E,0.005904615928803942
1031,RPS3A,0.0057603114686169115
1015,RPS16,0.005601788921875791
1040,RPSA,0.005599039459325244
1009,RPLP2,0.005589500794346348
1257,TRABD2A,0.005585324300536269
557,KLRD1,0.005533083160271986
993,RPL37,0.005353528746524814
1055,SARAF,0.0052029500230405664
1000,RPL5,0.005186643720372482
438,GNLY,0.00507869402873159
576,LEPROTL1,0.005046635427361754
996,RPL39,0.004858846422521236
429,GIMAP7,0.004652398281773718
254,CTLA4,0.004271808992646001
1207,TCF7,0.004251618198919771
148,CCR7,0.004176850950811826
965,RPL12,0.004152403469406205
1020,RPS20,0.004108320736592107
990,RPL36,0.003988971366090081
989,RPL35A,0.003983375837321828
1029,RPS29,0.003864346429620205
1008,RPLP0,0.003693363923171653
527,ITK,0.003583842998522386
962,RPL10A,0.0035599569875583866
826,PIM1,0.00355383360308391
157,CD2,0.003297657493214444
502,ICOS,0.003288913575930338
408,FYB1,0.0032397553606781913
744,NOSIP,0.003237737010575165
630,MARCHF1,0.0030138151382159487
138,CCL5,0.0029937459526172693
1022,RPS23,0.0028962639282305207
165,CD4,0.0028220403795763266
790,PCED1B.AS1,0.002760439607563246
1021,RPS21,0.0027596728146390176
509,IL2RA,0.002700041077080498
967,RPL13A,0.002668118363432778
985,RPL31,0.0026623591799562947
22,ADTRP,0.0026594489881893537
1046,RTKN2,0.0026215668784911063
514,IL6ST,0.0026164711847912014
1054,SAMHD1,0.002612105141586586
34,ANK3,0.002610278225282344
316,EEF1B2,0.0025921221852285518
558,KLRF1,0.0025880442156880224
1028,RPS28,0.002581087643141247
972,RPL18A,0.002560656035914105
45,AP3M2,0.002517833510361944
995,RPL38,0.0023777989624835763
978,RPL24,0.002370517629771289
981,RPL27A,0.0023398296316582967
0,AAK1,0.0021600565626984794
617,LTB,0.0021490940687497644
1002,RPL7,0.00212578523508726
299,DPP4,0.002107737860550198
975,RPL22,0.002082544419924291
1024,RPS27,0.0020737701612567306
1033,RPS5,0.002048455947584659
1153,SPOCK2,0.0019959498804297308
1001,RPL6,0.0019650653603189745
1005,RPL8,0.0019621058858584925
1203,TBC1D4,0.0018889926381504825
686,MYC,0.0018721003583067576
319,EFHD2,0.001858750635152714
797,PDE3B,0.0018284764073107068
982,RPL29,0.0017503643380696956
382,FCRL1,0.0017063555508282557
169,CD5,0.0016889537937764887
48,AQP3,0.0016860061164317949
427,GIMAP4,0.0016605345365105686
1251,TOB1,0.0016505366909354946
585,LINC00402,0.0015795180424665533
378,FCER1G,0.0015673681727658608
592,LINC00861,0.0015102648530366971
926,RORA,0.001494224775257932
976,RPL23,0.001449930316203221
460,GZMB,0.001449894858679466
712,NDFIP1,0.0014413474757299688
606,LPAR6,0.0014197169044461095
1018,RPS19,0.0013987595014746956
170,CD52,0.001387428081114711
977,RPL23A,0.0013871918434470946
619,MAF,0.0013854853688860416
452,GSTK1,0.00136902767637891
536,JUNB,0.0013419783789697121
1253,TOMM7,0.001297287887531237
504,IFITM1,0.001289834886009153
57,ARL4C,0.0012658473116540943
884,RACK1,0.0012584503700258439
1289,TXK,0.0012536526943232344
747,NPM1,0.0012469860971595173
376,FBXO32,0.001242728498993011
724,NFKBIZ,0.001236636598764453
1291,TYROBP,0.0012263932425138015
1266,TRBC2,0.0012075858445345223
425,GIMAP1,0.0011888992036144454
775,OXNAD1,0.0011881915989540015
401,FOXP3,0.001183047988718067
306,DUSP4,0.0011827663640269757
288,DGKA,0.0011762418804949415
857,PRKCA,0.0011677153317711856
260,CXCR4,0.001159112177734086
448,GPRIN3,0.0011489215301793202
159,CD27,0.0011447512393741174
998,RPL4,0.0011428984278793477
787,PBXIP1,0.0011384685343564696
596,LINC01550,0.0011021249228523433
54,ARID5B,0.0010657039617988895
718,NELL2,0.0010234460225405373
980,RPL27,0.0010182729990468064
1245,TNFSF8,0.0010135980610954368
407,FXYD5,0.0010108052304731638
242,CRYBG1,0.0010075478281520137
856,PRDM1,0.0010074302442063998
918,RNASET2,0.0009963264494692102
380,FCGR3A,0.0009808279643096793
777,PABPC1,0.0009751193363972487
461,GZMH,0.0009613265476369824
325,EIF3E,0.0009532173571135806
1011,RPS10,0.000921283920014588
1070,SERINC5,0.000911613134751862
1244,TNFRSF25,0.000908681135150123
447,GPR183,0.0009057968384511676
1241,TNFAIP3,0.0008481972788407215
204,CHRM3.AS2,0.0008468338187016888
746,NPDC1,0.000829977275926991
569,LCK,0.0008295055121789505
1126,SNHG29,0.0008264898714148701
1111,SLFN5,0.0008247713010385512
446,GPR171,0.0008167996190176761
624,MALAT1,0.0008097032620772903
357,ETS1,0.0007970829514752659
