,genes,importance
140,NSA2,0.0005985988582863709
249,FUS,0.0005904739926809753
334,H1.10,0.0005883285575827911
70,DUSP16,0.000585718013631859
291,UXT,0.0005811944042634447
44,CNOT6L,0.0005804462719568015
181,SNRPD2,0.000575987795571452
190,SRSF5,0.0005750698749787611
327,SVIP,0.000569104348725765
369,FYN,0.0005630375125614457
197,SNHG5,0.0005580679694890953
27,CNN2,0.0005577573594719869
90,EVL,0.000556982780098049
222,SSB,0.0005568766335555963
338,PIM2,0.0005483349519731313
188,PPA1,0.000547276141290183
467,PNISR,0.000544402310878929
322,ATP6V1G1,0.0005417405337931503
111,LINC.PINT,0.0005302789475244065
344,ELF1,0.0005286084518798267
288,NAP1L4,0.0005278609824014304
173,COX6C,0.0005270260829036539
364,RESF1,0.0005265875232461889
50,SUSD3,0.0005261029731185991
469,HBS1L,0.0005245855530388549
196,STK4,0.000524092501092842
192,COX7C,0.0005219359464601031
466,PLAAT4,0.0005207129562390815
64,TSPAN18,0.0005170972616026904
416,TMEM243,0.0005139050299131561
39,RNF157,0.0005133495082937176
76,ANKRD12,0.0005104935079750661
204,PPIA,0.0005096656789185957
472,FAM107B,0.0005074583104920896
314,CHASERR,0.0005054532197289322
166,C19orf53,0.0005034776226688323
414,RTRAF,0.0005021285464367068
325,KAT6A,0.000492894084767419
206,SF1,0.0004928578457503877
158,LSM8,0.0004924046431417035
433,SNHG3,0.0004886462509135558
317,LIMD2,0.0004861353953573875
195,HNRNPA1,0.00048543660448750536
63,UGP2,0.00047759515004147267
438,PDCD4,0.00047104220709065655
458,CD48,0.0004700657719344531
370,GBP2,0.0004682524049325433
169,RSBN1,0.00046703039365528464
402,ADGRG1,0.000466128552599226
164,EIF3D,0.0004642307116415581
65,LINC02273,0.00046129188489854524
254,CST3,0.0004604242196312583
243,WDR82,0.00045826852051700825
38,N4BP2,0.00045804637223821165
229,CTSD,0.000450405461418639
267,MYO1F,0.000450080545733935
235,EIF5B,0.0004488434849879021
154,RBMX,0.0004475713905365129
359,URI1,0.00044742569548513725
425,TAF1D,0.0004471468601834616
96,CDKN1B,0.00044392469993837495
397,ZBTB38,0.0004417089524332176
441,HSPE1,0.0004408628324695541
343,NUCKS1,0.0004326975720591094
28,NCK2,0.0004318120595366812
355,CCDC59,0.000421324980360396
403,PARP1,0.0004170182765093327
485,RABGGTB,0.00040802338523240986
354,NFKB1,0.00040695042713978795
412,SBDS,0.0004054585299785872
73,CYTH1,0.00040542738760217435
208,SLC25A39,0.0004038001418471336
78,APRT,0.0004030355336099401
379,WDR33,0.00040246027605404935
422,SSR2,0.0004019124065095068
492,BLOC1S4,0.00039876025305126734
375,MAGOH,0.0003978981678697016
372,SRSF7,0.00039733873268710463
311,FGD3,0.00039600118401439166
439,ATP5F1A,0.00039499020800587404
303,UBAC2,0.00039493823655167496
419,TSR2,0.0003942803710548124
410,ST6GAL1,0.0003928286999450498
127,GBP5,0.0003894819052125829
292,CASK,0.00038695651186916813
377,HSPD1,0.0003852363321177826
464,LSM5,0.0003845862240623632
446,PHC3,0.0003822846312499479
231,FXR1,0.0003820584569942207
214,RBM38,0.0003812207417819547
456,MICOS13,0.00038107790554332095
360,SCML4,0.00038018450260650214
134,TMF1,0.0003793529652492381
110,CHURC1,0.00037873660565700216
264,ENTPD4,0.00037817059885068155
319,METTL5,0.0003779127706452193
198,RPL36A,0.0003744665631834276
490,ANKH,0.00037288735986914866
98,LPIN2,0.0003715080026341664
256,PPM1K,0.00036798842262762504
463,CHD3,0.0003675387193514206
323,TRMT10C,0.0003674896942995177
390,ARHGEF3,0.00036727985502027694
407,SNU13,0.0003561145035550719
348,CCM2,0.0003529682063027945
361,U2AF1L4,0.00035282286287630923
153,ATP5PO,0.00035256214565962846
389,PCED1B,0.00035236118897825637
315,ZC3H7A,0.00035020183362884186
426,SYPL1,0.0003452470052789988
180,BBX,0.0003438503068556949
115,CCT3,0.0003434717367265962
478,NBEAL1,0.0003432251431967117
152,STAT5B,0.0003420083370344161
365,LMAN1,0.0003411197112034867
345,CA5B,0.00034068990797774646
75,CHMP7,0.0003400096434217405
434,STAT4,0.0003399846099091316
266,SNHG7,0.0003394967434476045
473,NLRP1,0.000337924818039317
459,CIB1,0.00033572913197955933
37,NCMAP.DT,0.00033413843399862213
453,KRR1,0.00033401058463496515
337,TMEM238,0.0003335478318202078
295,SNHG14,0.00033283532254241993
55,VPS51,0.00033238936683888424
251,RANBP2,0.0003318313134613145
305,FBL,0.00033149606547772066
137,COX14,0.0003308802228078708
119,LDLRAP1,0.0003307192900921327
366,FAM177A1,0.0003271479967754323
356,UBL3,0.00032677652815947793
62,MLLT6,0.00032558818299466394
330,DPP7,0.0003238961043173459
49,TSPAN14,0.00032324933953792827
442,ICAM2,0.0003229402930225056
483,AIP,0.00032196499723198346
282,RPL41P2,0.00031926483666353
285,SRM,0.00031831364747374137
429,SNHG12,0.00031742363577544574
265,ZNF638,0.00031684234763385797
101,RP11.138A9.1,0.00031629460239459347
367,FDX1,0.000313272457639568
385,LINC00476,0.0003103118200954995
