,genes,importance
376,HIF1A,0.0005366709113510776
153,CD3E,0.0005352319117966338
424,IRF8,0.0005252068745774479
708,RAB31,0.0005229918846083575
911,TRBC2,0.0005177628508213961
174,CEBPE,0.0005172704336073949
691,PTGDR,0.0005106636196930427
635,PEPD,0.0005101745260779829
910,TRBC1,0.0005027306072434131
818,SLC16A7,0.0005017459831026715
881,TGFBI,0.0004955377117129229
166,CDKN2D,0.0004934975172263301
787,SAMSN1,0.0004927526549184455
306,FLOT1,0.0004908068910641865
239,DEFA1B,0.0004898783184346739
595,NRBF2,0.0004891403154999514
853,SRPK1,0.00048779229636303515
379,HLA.DPA1,0.00048363133880288114
800,SERPINB10,0.0004833255941094805
321,GAPDH,0.00047977006780195954
840,SORL1,0.0004688913871214895
547,MTSS1,0.0004589754234432042
415,IL2RB,0.0004473627944660506
979,ZNF385A,0.0004437387870850099
913,TREM1,0.0004434408882817206
352,GSPT1,0.0004417154143975368
523,MEF2C,0.00042744925205611566
657,PLEKHA1,0.0004153449967033145
216,CST7,0.00041410925677268733
378,HLA.DMB,0.0004090835980880214
637,PFN1,0.00040731389412850325
798,SERPINA1,0.0003937409251512372
633,PELATON,0.0003902946576020073
465,LCP1,0.0003736712734823468
794,SELL,0.00036750611144846767
897,TMIGD2,0.0003646052885716168
631,PDZD8,0.00036402422843712215
512,MARCKS,0.0003588199375798489
614,OXNAD1,0.0003579759142095213
799,SERPINB1,0.0003551955251292624
855,SSBP4,0.0003505117389033698
714,RAE1,0.0003495143081189559
514,MBOAT2,0.0003491025950009531
346,GPRIN3,0.0003463473443749173
951,VIM,0.0003456425715097919
298,FCN1,0.000345361292949707
638,PGD,0.0003408258382623718
827,SLC4A7,0.00033602772685699666
969,YWHAH,0.00033105857102023686
647,PIP4P2,0.00032945304757545953
244,DHRS9,0.00032855614629704374
780,S100A6,0.0003261099030439877
140,CCDC125,0.000324552996886531
554,MYL12A,0.00032286878003980946
399,IFITM1,0.00032081260193305523
606,OPTN,0.0003200364100776568
779,S100A4,0.0003188710275043605
440,KBTBD7,0.0003147320967004841
963,XPO6,0.00031331516853292675
918,TSEN34,0.000306833965666519
139,CAT,0.0003038641552872518
77,ASPH,0.00029795944272257793
886,TKT,0.00029503142601350845
961,XAF1,0.0002928239457569296
572,NCR3,0.0002924515927979493
414,IL27RA,0.000291764797361906
649,PLAAT3,0.00029152807791829426
863,STX3,0.0002898834691038344
488,LRP10,0.0002885900653870039
233,CYBB,0.00028308455872745657
742,RNF24,0.0002826980651122879
844,SPI1,0.0002822693689403976
869,SYNE1,0.0002727945549966877
865,STXBP5,0.0002719163820336723
729,RGS2,0.00027132681609957394
515,MBOAT7,0.00027090526324258566
679,PRKCH,0.0002707364273647074
839,SOD2,0.0002687638508104344
418,IL7R,0.00026849455505710746
156,CD55,0.00026796312216094924
395,ICAM3,0.00026421068077525346
377,HLA.DMA,0.0002589494385611696
366,HBA1,0.00025504911194187464
50,ANXA1,0.0002533082709048755
212,CSF2RB,0.00025155711935732005
819,SLC25A39,0.00024949861302684523
422,IRAK3,0.00024908309821430717
746,RORA,0.00024901945877749327
42,ALOX5,0.0002482484327898355
145,CCPG1,0.00024823307971395917
817,SLC16A3,0.00024689469095552505
8,AC006129.2,0.00024650225110405823
188,CLEC4D,0.0002450972147928462
190,CLEC5A,0.00024295448268239387
619,PADI2,0.00024256770747608917
22,ADGRG1,0.000241578459990871
494,LTA4H,0.00024106963265883898
230,CXCR1,0.00023915594477327162
956,VSTM1,0.000236497122103593
590,NOP10,0.00023593410046322434
748,RP11.1143G9.4,0.00023086300476209636
716,RALB,0.0002282297557144918
373,HDAC9,0.00022711552652713844
972,ZDHHC19,0.00022475566456843214
69,ARPC3,0.00022212984726057762
111,BRI3,0.0002174387685739491
451,KLF5,0.000214521520700541
463,LBR,0.00021378396525247481
103,BIN1,0.00021232735653237836
162,CD86,0.00021060152088534916
962,XCL2,0.00020951595617245273
493,LST1,0.00020743794784957605
730,RHOG,0.00020575595115753862
157,CD63,0.00020321210266280548
904,TNFSF13B,0.00020221839781598083
833,SMAD3,0.00020188140805169644
804,SH3GLB1,0.00020185349880406616
256,DYSF,0.00020036771873625304
867,SVIL,0.00019743515727949478
834,SMCHD1,0.00019698591263328684
932,TYROBP,0.00019616424668574123
202,CORO1A,0.00019526208490796217
177,CFL1,0.00019427982831018758
814,SLC11A1,0.00019303177970195624
347,GPSM3,0.00019023315058918125
118,C1orf21,0.00018985554515446796
644,PHF20L1,0.00018812873868336065
540,MSL1,0.00018805768003398224
652,PLBD1,0.0001873349626877257
622,PAG1,0.0001871349892361579
653,PLCB1,0.00018666145304621856
835,SNCA,0.0001857041305992995
104,BLOC1S1,0.00018569243202378545
203,COTL1,0.00018304356560102405
458,LAMP2,0.00017944881866898316
477,LINC00861,0.00017737939012982574
727,RGS18,0.0001766992534719159
459,LAMTOR4,0.0001764956546733597
472,LILRB4,0.00017601884153880314
297,FCMR,0.00017502665249328515
269,ENTPD1,0.000174889004772396
17,ACTR3,0.0001748758864535245
970,ZBTB10,0.0001698628742015984
381,HLX,0.00016782898440535152
155,CD46,0.000167679475729673
439,KBTBD6,0.00016698365161087758
238,DEFA1,0.0001664317284220961
608,ORAI2,0.00016529333961213714
605,OLR1,0.00016482978824981166
473,LIN7A,0.00016437159005227366
189,CLEC4E,0.00016398156887224965
337,GNB2,0.00016390776528586363
362,H2AZ1,0.00016357538947149453
562,NAIP,0.00016331887637702165
16,ACTR2,0.00016298588987349532
242,DENND3,0.00016232891047713725
112,BST1,0.00016024413634658062
361,H2AC6,0.0001592835921345254
124,C9orf78,0.0001581014253345336
30,AGPAT3,0.00015728612630445702
186,CKLF,0.0001557921158272397
788,SAT1,0.00015490949876193462
491,LRRK2,0.00015381374313645196
555,MYL12B,0.0001530547042969624
852,SRM,0.0001510139857842213
580,NFE4,0.00015035366077581545
948,VASP,0.0001479491765557592
215,CSGALNACT2,0.0001472021655768435
283,FAM126B,0.00014717320898868571
396,IDI1,0.00014658588827929492
860,STK17B,0.0001461226026067372
955,VSIR,0.00014583216436388476
466,LDHA,0.00014380163988024947
68,ARPC2,0.0001434645686365118
438,JPT1,0.00014307504850438618
811,SKAP2,0.00014251203525946881
842,SOS2,0.00014245448460331535
417,IL6R,0.00014135335026013368
570,NCF2,0.00014126104240140853
48,ANKRD22,0.00014123083087014837
538,MROCKI,0.00014030179206362645
791,SCPEP1,0.00014003769131438698
95,BAZ1A,0.00013980917211904367
371,HCK,0.00013767764668730936
522,MEF2A,0.00013742968589999097
107,BOD1L1,0.00013687922100895453
500,LYN,0.00013675168683602155
507,MAP3K2,0.00013623132341776683
519,MCUB,0.00013612728239271034
952,VMP1,0.0001351431070153931
355,GUK1,0.0001347922292619108
575,NECAB1,0.0001342175596269952
178,CFLAR,0.00013417568055464104
31,AGTPBP1,0.00013396587536940128
838,SOCS1,0.0001338643236899119
803,SH2D1B,0.00013383956917207017
982,ZRANB1,0.00013336674585250971
744,ROMO1,0.0001326017051981474
666,PPM1K,0.00013131669459319522
173,CEBPD,0.00013111951278281557
51,ANXA11,0.00013102662878624607
334,GNAI2,0.00013062205597559693
469,LILRA5,0.00012878022163456077
756,RP4.635A23.6,0.0001282595045251663
734,RNF13,0.00012778484468763828
498,LY9,0.00012679187488515533
419,INHBA,0.00012667927876704372
236,CYRIB,0.00012655726034447513
868,SVIP,0.00012578041131887507
275,ERG,0.00012538763567029225
694,PTPRE,0.00012528261348367223
743,ROCK1,0.00012519592426688485
546,MTND5P32,0.0001249257971333338
879,TENT5C,0.00012469282891350514
72,ARRB2,0.0001242205457304805
147,CD160,0.0001238280531375326
217,CSTA,0.00012344733828605675
122,C5AR1,0.0001233521776318781
64,ARHGDIB,0.00012317496551190034
600,OAS1,0.00012070853159260759
86,ATP6V0B,0.00011971272734251474
187,CLEC12A,0.0001194224327960514
101,BCL6,0.0001193182740440662
450,KLF12,0.00011918279457269941
569,NCF1C,0.00011912961970137541
717,RALGAPA2,0.00011861758146615328
709,RAB32,0.00011802507434345774
601,OAS2,0.00011664492350003003
168,CEACAM3,0.00011604870357951878
521,MED13L,0.00011541272267700149
947,VAPA,0.00011513994684242541
404,IFRD1,0.00011512990928385211
165,CDC42EP3,0.0001151293424896919
594,NQO2,0.00011492339797724007
612,OSBPL8,0.00011482695591225785
98,BCL11B,0.00011447502731836552
172,CEBPB,0.00011444397964876906
588,NMI,0.00011304389970588024
908,TPM3,0.00011256327095847411
120,C3orf86,0.00011238427909555602
655,PLEK,0.00011227882423095706
152,CD302,0.0001120873648045586
616,P2RX5,0.00011204747819431008
67,ARPC1B,0.00011182504875136871
136,CAPZB,0.00011157217223365107
338,GNG5,0.00011070070208395718
785,S1PR5,0.0001106364211363148
44,ALPK1,0.00011044770966832424
662,PLP2,0.00010863174605357925
146,CCR2,0.00010790800394274004
314,FYB1,0.00010734249287408809
713,RAC2,0.00010695186072433722
825,SLC40A1,0.00010666610250062684
0,A2M.AS1,0.00010477790215106626
372,HCLS1,0.00010456164112152706
661,PLIN5,0.00010392207309198572
204,CPD,0.00010357061667714651
567,NCAM1,0.00010348975358212644
70,ARPC4,0.00010326631772807205
91,AZI2,0.0001026708476938747
495,LTB,0.00010239415396655474
433,JAK3,0.0001022096806901108
506,MANSC1,0.00010177483123247419
344,GPR27,0.00010160715065566934
502,LYST,0.00010086576446072907
617,P2RX7,0.0001006132123044525
802,SH2D1A,0.00010040269172209664
943,UPP1,9.982884411192487e-05
57,APMAP,9.955640543432155e-05
685,PSMB3,9.919618523192204e-05
651,PLAUR,9.829598456435743e-05
551,MYBL1,9.768753383009959e-05
176,CFAP97,9.764041283779485e-05
255,DYRK2,9.761623511036127e-05
682,PRR13,9.75364374194275e-05
937,UBE2J1,9.734794603250853e-05
194,CMTM6,9.733580929650347e-05
279,EVI2B,9.73309088272591e-05
471,LILRB3,9.713803386511929e-05
467,LFNG,9.707470166189608e-05
926,TUBA1A,9.675427595837459e-05
517,MCL1,9.61719689029665e-05
639,PGK1,9.58068435953325e-05
841,SORT1,9.546688982561423e-05
282,FAM107B,9.475772075487306e-05
328,GLRX,9.469906424470192e-05
307,FLOT2,9.449884767185944e-05
121,C4orf3,9.415409368021695e-05
260,EFHD2,9.397571533583997e-05
578,NFATC2,9.378459527291119e-05
278,ETS2,9.294323614998669e-05
712,RAB7A,9.154730746814645e-05
553,MYH9,9.089412751917628e-05
960,WSB1,9.085475578470349e-05
754,RP3.525N10.2,9.035077082027777e-05
123,C8orf82,9.024335570386428e-05
191,CLSTN1,9.010910632014861e-05
478,LINC01506,8.996235288147482e-05
568,NCF1,8.990985826540553e-05
673,PPP4R2,8.971105535283308e-05
350,GRN,8.92278584706244e-05
425,IRS2,8.879061445535798e-05
843,SPG21,8.876074111499764e-05
900,TMX4,8.86775371870353e-05
454,KLRC1,8.851826161328877e-05
857,STAT3,8.836216166984208e-05
812,SLA,8.832544901277213e-05
690,PTEN,8.809225057083393e-05
813,SLAMF6,8.792503787694451e-05
524,MEGF9,8.783284521783239e-05
276,ERO1A,8.747238415445546e-05
55,APBA2,8.686340867111745e-05
436,JDP2,8.621166168308298e-05
745,ROPN1L,8.620729135732784e-05
845,SPOCK2,8.562747649128318e-05
903,TNFSF10,8.512569444084778e-05
460,LAMTOR5,8.506081659754969e-05
862,STRADB,8.498555736288748e-05
430,ITGB2,8.496322619268309e-05
374,HEBP2,8.487638007854048e-05
369,HBM,8.407512243937968e-05
885,TIMP2,8.395974404878885e-05
61,ARFGEF1,8.36303533511342e-05
308,FMNL1,8.361913674074805e-05
365,HAVCR2,8.356819393476118e-05
10,ACAP2,8.338404946988319e-05
452,KLF7,8.325788704807266e-05
769,RTF2,8.322423154916145e-05
226,CTSD,8.319234787084082e-05
73,ASAH1,8.306104839413489e-05
128,CAMK2D,8.30287458246656e-05
443,KDM6B,8.265715041572197e-05
169,CEACAM4,8.25898490082789e-05
905,TOB1,8.175817485435197e-05
966,YPEL5,8.10318774604619e-05
87,ATP6V0D1,8.0998992150303e-05
407,IGHD,8.095922980420753e-05
766,RPS6KA3,8.081518940850684e-05
304,FGR,8.044683629647994e-05
420,IQGAP1,8.029420717392613e-05
402,IFNGR1,7.973747978743764e-05
210,CREB5,7.938527635911887e-05
134,CAPZA1,7.914603447426444e-05
313,FRAT2,7.913564980653876e-05
613,OSTF1,7.905830090251051e-05
117,C1orf162,7.897013669824045e-05
214,CSGALNACT1,7.878891456256292e-05
968,YWHAB,7.878646168639148e-05
245,DMTN,7.799316642044947e-05
161,CD82,7.786943135229574e-05
686,PSTPIP1,7.766442470518067e-05
959,WDFY3,7.76591785459921e-05
490,LRRFIP1,7.758488750145744e-05
711,RAB5IF,7.736064233754586e-05
531,MMADHC,7.678392724744457e-05
335,GNAI3,7.650877898103423e-05
137,CARD11,7.622201496491568e-05
423,IRF2BP2,7.618533041576543e-05
557,MYO1F,7.602255262818272e-05
370,HBQ1,7.592230866317341e-05
392,HSDL2,7.576733913368257e-05
292,FBXL5,7.542216251049995e-05
106,BNIP2,7.529433241440416e-05
82,ATP2A3,7.518300267460696e-05
175,CERT1,7.411087978502141e-05
957,WAS,7.38393418996816e-05
664,PLXNC1,7.37079991949914e-05
687,PSTPIP2,7.357774769748e-05
154,CD3G,7.312840348178448e-05
950,VCL,7.291471364858737e-05
300,FCRL6,7.280598122913271e-05
88,ATP6V0E1,7.21330876846659e-05
921,TSPAN2,7.205521601506535e-05
406,IGF2R,7.199237703981622e-05
674,PPT1,7.186928086625297e-05
896,TMEM91,7.164522200202074e-05
56,APBB1IP,7.145138534423623e-05
705,RAB1A,7.133274753501651e-05
181,CHMP2A,7.13068566338306e-05
394,HTATIP2,7.08748618673557e-05
548,MX2,7.053360661212006e-05
675,PRAM1,7.021135424896637e-05
408,IGSF6,7.018335328957745e-05
243,DHRS7,7.017807322664682e-05
163,CD93,7.00116416278664e-05
977,ZNF22,6.949087313225792e-05
735,RNF130,6.932446091381711e-05
866,SULT1B1,6.916689732249384e-05
887,TLE3,6.916006543733004e-05
330,GLT1D1,6.889787929184465e-05
485,LPGAT1,6.880127826961818e-05
793,SELENBP1,6.860805573971973e-05
837,SNX10,6.84750676267259e-05
942,ULK1,6.819632406031673e-05
333,GMPR,6.798720259268561e-05
592,NPEPPS,6.792884318935981e-05
983,ZYX,6.783917547263985e-05
550,MYADM,6.774258559064674e-05
850,SQOR,6.756283407294216e-05
508,MAP4K4,6.747198552710126e-05
696,PTX3,6.745476361715914e-05
196,CNN2,6.738011472750336e-05
902,TNFRSF13C,6.724714274861035e-05
583,NFKBIZ,6.720771791218326e-05
971,ZDHHC18,6.71116379989777e-05
732,RIT1,6.677470310986886e-05
688,PTBP3,6.654104406169822e-05
504,MACROH2A1,6.634918291393917e-05
84,ATP5MJ,6.620329327876721e-05
13,ACSL4,6.601718216341357e-05
939,UBN1,6.594546710412791e-05
207,CPPED1,6.589586622443554e-05
527,MIDN,6.569798168541158e-05
293,FBXW2,6.566267394278039e-05
309,FNIP1,6.548058658196822e-05
232,CYB5R4,6.529515454594816e-05
271,EPB41,6.527159335843908e-05
870,SYNJ2BP,6.486874248400992e-05
891,TM9SF2,6.477422644067475e-05
936,UBE2D1,6.460855479626567e-05
880,TFF3,6.437263324037668e-05
890,TLR4,6.430489850526924e-05
815,SLC12A6,6.400734507014517e-05
499,LY96,6.38109717175166e-05
610,ORM2,6.374793196080064e-05
889,TLR2,6.371613295765148e-05
559,N4BP1,6.371123259930315e-05
219,CTBS,6.367668995660935e-05
410,IL17RA,6.367272524076485e-05
513,MBNL3,6.362424704861664e-05
775,RYBP,6.357250295797291e-05
6,ABI3,6.35569680404399e-05
37,AKAP7,6.310117124095817e-05
660,PLIN3,6.301353831843181e-05
133,CAPN12,6.282169182772365e-05
668,PPP1R18,6.256733343296795e-05
648,PJA2,6.205601902347262e-05
720,RBMS1,6.191711177412884e-05
470,LILRB2,6.176604355100605e-05
627,PDGFD,6.163051882482419e-05
938,UBE2R2,6.145124313832355e-05
197,CNPY3,6.135091320888057e-05
38,AKIRIN2,6.122621797787124e-05
669,PPP2R2B,6.118227232885985e-05
229,CXCL8,6.103988137326832e-05
29,AGO4,6.090695195625903e-05
403,IFNGR2,6.040646042668072e-05
542,MSRA,6.03238435403936e-05
878,TCTN3,6.000220072026163e-05
299,FCRL3,5.987676887608946e-05
291,FAR1,5.960750164603507e-05
195,CNIH4,5.9211669758605373e-05
552,MYD88,5.9072070994577214e-05
579,NFE2,5.890359304479612e-05
287,FAM200B,5.8064211256645896e-05
598,NUMB,5.795049479231375e-05
528,MIER1,5.748882407633611e-05
501,LYPLA1,5.720005338948067e-05
446,KIAA1109,5.703447384908663e-05
248,DOK3,5.692963076164911e-05
253,DYNC1LI1,5.6697675758368956e-05
892,TMBIM4,5.6620126488213224e-05
364,HACD4,5.660154547362897e-05
261,EGLN1,5.6283528229894954e-05
544,MTARC1,5.57621963672978e-05
27,AFF3,5.565007939110824e-05
327,GLIPR2,5.5416000470326787e-05
63,ARHGAP9,5.5387563855907356e-05
643,PHC2,5.532341839556531e-05
703,RAB11FIP1,5.490422922201376e-05
738,RNF145,5.48908506581339e-05
632,PDZK1IP1,5.4636339802789324e-05
922,TSPAN5,5.447881738631529e-05
585,NIN,5.444218827164143e-05
525,METTL9,5.431690783958748e-05
586,NINJ1,5.4289019928269546e-05
367,HBB,5.3930677200640833e-05
809,SIRPB1,5.386436847353543e-05
602,OGFRL1,5.379943546567217e-05
680,PRKCQ,5.374787063334429e-05
435,JAML,5.365367137557592e-05
894,TMEM156,5.347086609624802e-05
520,ME2,5.344388619166809e-05
205,CPEB4,5.344019853984122e-05
797,SERINC3,5.34043660001651e-05
914,TRG.AS1,5.31958550856003e-05
828,SLC6A6,5.3045750684120223e-05
772,RUFY3,5.291886170332344e-05
336,GNAQ,5.265731557618022e-05
461,LASP1,5.261564578631678e-05
795,SEMA4A,5.2598805256263024e-05
591,NOP14,5.2571934253373735e-05
251,DTHD1,5.2370793167224156e-05
715,RAF1,5.2209475157313595e-05
386,HNRNPH2,5.191774988773637e-05
348,GRB2,5.187234193013284e-05
626,PCNX1,5.184576058373345e-05
349,GRINA,5.166468161186773e-05
277,ETF1,5.157584325206161e-05
946,VAMP3,5.1362764285861663e-05
725,RFTN1,5.1178454492557525e-05
628,PDLIM7,5.092150973032919e-05
92,AZIN1,5.0909571059120344e-05
144,CCNG2,5.0876076808807983e-05
589,NMUR1,5.0752538144914553e-05
577,NFAM1,5.0650919759667786e-05
919,TSEN54,5.054548216294869e-05
564,NAMPTP1,5.0516220368428396e-05
906,TOR1AIP1,5.0368869772992185e-05
354,GSR,5.032829867184077e-05
695,PTPRJ,4.98648009213571e-05
