,genes,importance
739,PLAAT3,0.0004290066154775728
902,RPL35,0.00041888613571934433
246,CTSD,0.00041744574477115286
506,KHDRBS2,0.00040729632150070466
907,RPL37A,0.00038410495265815047
775,PRKCB,0.0003788955183187866
101,BIN2,0.0003776292296495017
533,LGALS1,0.00036888678333683227
629,MZB1,0.0003673818258017917
891,RPL23A,0.0003626923815244698
584,MARCKS,0.00035871018763492446
456,HVCN1,0.00035870019003767336
795,RAB30,0.0003576237806467779
908,RPL38,0.0003461090978320013
958,S1PR5,0.0003441134794106238
180,CD93,0.0003374737156732878
873,RPL10,0.0003369774689680543
205,CLEC12A,0.00033481699041577027
786,PTGER2,0.0003338558988065575
539,LILRB2,0.0003331451102252273
849,RP11.297B17.3,0.0003321984099066043
827,RNASE6,0.0003301929406175405
926,RPS15A,0.0003290367007491642
798,RACK1,0.0003179862062025384
574,MAFB,0.0003048010638744204
890,RPL23,0.0003038457640726208
1039,SNX2,0.0002984821914164958
120,C1orf21,0.00029478076329983867
993,SH2D1B,0.00029401342555363316
139,CCDC50,0.00028570027425278607
646,NCR1,0.00028464550690551456
496,JCHAIN,0.0002822840489120816
971,SEL1L3,0.00027806253180230573
598,MGST1,0.00027609244055428617
920,RPLP0,0.0002744862677993512
898,RPL31,0.00027034495499006164
129,CAMK2D,0.00026833927475494084
662,NOP53,0.000266163515904693
156,CD19,0.0002649807793710592
745,PLEKHF2,0.00026130144701093795
1264,ZNF860,0.0002609804182511908
262,DCAF12,0.0002577972980916067
492,ITPR1,0.0002524116944138802
354,FCMR,0.0002436028915556477
813,RBP7,0.00024079588898933267
415,GZMH,0.00024076368605887276
948,RPS9,0.0002370294319124186
923,RPS10,0.00023235499107042253
381,GDF7,0.00023159592922694292
943,RPS4X,0.00023141948407022882
1188,UGT8,0.00022676279934038605
538,LILRA5,0.00022260801636444507
1146,TRDC,0.0002199372316240046
1070,STAP1,0.00021947710349898503
623,MYBL1,0.00021742656276775465
997,SHTN1,0.00021476364181933884
816,RCSD1,0.00020915883094217393
164,CD302,0.00020826362775539853
31,AIM2,0.00020728010677999566
894,RPL27,0.00020458385949970447
1127,TMEM243,0.000203090716724024
153,CD160,0.00019707282394826605
946,RPS7,0.00019694547720805047
400,GPR183,0.000196102205350705
273,DENND5B,0.00019539049631667375
182,CDCA7L,0.00019178981584699282
161,CD24,0.00018883722269927977
914,RPL6,0.00018839973500264597
86,BACE2,0.00018675163632671682
1002,SIGLEC7,0.00018420276263453415
1197,USP6NL,0.00018117154770555473
722,PHACTR1,0.0001784397897183246
880,RPL14,0.00017579275653586336
568,LY86,0.0001728731206749711
255,CXXC5,0.0001712822086340329
1006,SIRPB1,0.0001665345260709186
1120,TLR4,0.0001656930450436934
621,MTSS1,0.00016510633687751803
781,PRSS23,0.00016474846625182633
17,ADGRG1,0.00016424845737765423
1048,SP100,0.00016141502118309148
699,P2RY14,0.00015950658773464745
776,PRKCQ,0.00015682957742630714
373,GABPB1.AS1,0.00015589035014758115
1040,SNX22,0.00015461944762622964
49,ANKRD44,0.00015328502259265476
667,NPL,0.0001518647406222792
510,KLF2,0.00015171862012451694
572,LYST,0.00015044881167737922
555,LINC02422,0.00014478490406733902
