,genes,importance
197,DSEL,0.0005174746979533527
348,LINC02610,0.0005142408297958092
429,PCSK1N,0.0005121392458225256
601,RP11.477N3.1,0.0005119309856854105
536,RP11.213H15.1,0.0005087753370929355
531,RP11.17P16.1,0.0005087269338518479
224,FAM47E,0.0005068760423553605
532,RP11.191L9.4,0.0005043312885146295
390,NAP1L3,0.0004992097012471517
136,COL9A3,0.000498465386537571
359,LSP1P4,0.0004970067158623438
298,IRS3P,0.0004916450960299704
757,SRPK2P,0.0004913883934667646
440,PKIA,0.0004862860440394798
810,UBASH3A,0.00048621818000972133
82,CAMTA1.DT,0.00048397498320446915
83,CASC19,0.000476275524111888
246,GINS2,0.00047281897860438233
777,TLCD1,0.00047279091809436584
591,RP11.426C22.12,0.0004713874444031222
1249,TMEM262,0.000471248840099375
264,GYPE,0.00047052375869336945
91,CCNB2,0.00046826132349869336
630,RP11.707M3.3,0.00046552212035419076
124,CERKL,0.00046418646618247837
52,ASH1L.IT1,0.0004636084480408405
991,KRT8P15,0.00046225643305102584
274,HMMR,0.00045356983657100623
64,BMS1P8,0.0004502883686254575
267,HBD,0.0004501786132155714
654,RP11.825M14.1,0.00044372189094384735
671,RP13.516M14.2,0.0004370437902874487
209,EPHX2,0.00043182217949892744
626,RP11.686D22.7,0.00043063290816427655
212,ERI2,0.00043036322812066826
592,RP11.431H16.3,0.0004285476531644307
516,RP11.1148L6.9,0.00042705397097638663
229,FLJ13224,0.00042683771151860007
489,RN7SL301P,0.0004255709986839
270,HHAT,0.00042340065727585705
595,RP11.464D20.2,0.000422249685292899
189,DLGAP3,0.0004205784894549075
503,RP1.111D6.3,0.00041814965700717895
350,LINC02680,0.0004172780612096066
819,WDR11.AS1,0.0004147086193925175
614,RP11.552M6.1,0.00041351908618550247
1131,RP11.326N17.2,0.0004134110321839733
768,TAF4B,0.00041262948083914814
993,KRT8P46,0.0004108437877546449
145,CTA.797E19.1,0.0004096346777001799
679,RP4.583P15.10,0.0004032625461900825
42,ANLN,0.00040279222722122124
1027,MARCKSL1P2,0.0004025318954597111
435,PFKFB4,0.00040086193387572303
456,PRKCZ.AS1,0.00039221315459597803
32,AC114730.7,0.00039101942616149996
783,TMEM30B,0.00038911482028711664
41,ANKRD20A2P,0.0003878549726558338
529,RP11.172H24.4,0.000383730031023813
130,CISH,0.00038286775479962754
463,PTTG4P,0.0003818160861252241
53,ASS1P1,0.0003790512215285516
360,LY6G5B,0.0003768560547359278
996,LA16c.349E10.1,0.0003761169171349342
741,SLC35F2,0.0003747928757420599
1235,SOS1.IT1,0.0003746947787406321
826,Y_RNA_ENSG00000200502,0.00037343624572569716
770,TBC1D4,0.0003720509471260416
377,MORF4L1P3,0.000369134365924101
834,ZNF132,0.0003662955378813853
355,LRRC34,0.00036525080824476345
49,ARHGEF35.AS1,0.0003626077061378203
1037,MTND5P2,0.0003605328083703758
63,BIRC5,0.0003585655837472426
718,SAXO1,0.0003575090170571105
104,CD40LG,0.00035018912422828276
51,ARMC9,0.00034956274027550223
1074,RN7SKP198,0.00034902375798944287
237,FXYD1,0.00034893365270034164
466,RAB23,0.00034890702583194604
726,SEPTIN7.DT,0.00034882690780628647
632,RP11.70P17.1,0.00034479095411165555
154,CTD.2081C10.7,0.00034435113610140354
339,LINC01952,0.0003443043291228225
241,GATA3.AS1,0.0003436919166394486
729,SGCB,0.00034328192822653033
962,GDF6,0.0003381324160371382
