,genes,importance
1005,GLRX,0.0006577764588157761
1133,HIGD2A,0.0006518171919112827
2322,RPL36,0.0006484273250572138
1742,NEAT1,0.0006457160099531421
1326,KLRB1,0.0006363758994726815
1520,MFSD1,0.000632439079100279
1285,KCNE3,0.0006314655452935552
2556,SLC8A1,0.000627645219951221
3042,VAMP8,0.0006262711287478797
385,CCL5,0.0006206986021924263
1034,GNS,0.0006195678562592112
1751,NFAM1,0.0006122714612947013
2412,SDCBP,0.0006088534026977066
2908,TRBC1,0.0006042359759421713
2330,RPL7A,0.0006037446417306837
1401,LIPA,0.0005866826524917819
821,ENO1,0.0005844018530809318
584,CRTAP,0.0005735611556120222
25,ACSL1,0.0005732152838494185
3135,ZEB2,0.0005724105045279741
2501,SIRPA,0.0005688406207273708
1967,PLD3,0.0005681089416623175
937,FMN1,0.0005673407968032977
2325,RPL39,0.0005535875090593222
95,ALOX5AP,0.0005484787415491444
2710,SULT1A1,0.0005416545947833312
2175,RACK1,0.0005398866984314246
273,BCL11B,0.0005393795209583481
2331,RPL9,0.0005369967556351214
1388,LINC00861,0.0005339751645939402
2158,RAB32,0.0005208165276834844
2316,RPL23,0.0005139477941489975
1359,LCK,0.0005093425103432429
1209,IFNGR2,0.0005028795762936006
2658,SRGN,0.0004942478288318121
2909,TRBC2,0.0004835301671704984
1330,KLRF1,0.0004745086295079181
1377,LILRA5,0.00047238968048731036
2548,SLC43A2,0.00046556340017026287
1375,LILRA1,0.00045914237288810397
1920,PFDN5,0.00045651952003839766
1912,PECAM1,0.00044845675607089753
2409,SCPEP1,0.0004459918044116684
26,ACSL4,0.0004406057120102468
1868,PABPC1,0.00043950008993883205
2838,TMEM170B,0.0004351154276084596
1954,PILRA,0.0004344630885376896
1224,IL2RB,0.0004325425936534376
2348,RPS7,0.0004307617434260951
3130,ZDHHC20,0.00042688322494186274
1673,NACC2,0.00041702270504110326
1362,LCP1,0.0004127022632570561
99,AMPH,0.0004118502119874707
2113,PTGDR,0.00041025328994322456
1514,METTL7A,0.0004097793364867054
1271,JAML,0.00040615194545024164
1872,PADI4,0.0004038857747538037
2266,RNF144B,0.0003990781229215103
31,ACTR2,0.0003978898790347336
1517,MFGE8,0.0003962334325365133
2188,RASGRP1,0.0003948177564512122
2323,RPL37,0.0003902358223691626
453,CES1,0.0003901593498306745
1024,GNAQ,0.0003879141963686692
392,CCR2,0.00038666635137618734
1444,MACROH2A1,0.0003858645629599456
2314,RPL22,0.0003759478850753846
425,CDA,0.0003622838452912373
2856,TMIGD2,0.00036097945350033704
1003,GLIPR2,0.0003606730407277073
1624,MTARC1,0.0003565972802904451
2136,PYGL,0.00035659479589767536
1416,LRRC25,0.0003544040223207999
896,FBXL5,0.00034603400543064183
3134,ZDHHC7,0.0003440389220800226
116,ANXA1,0.0003358455560132816
1480,MATK,0.0003324988810877501
127,AP2S1,0.0003184521626322306
3069,VSIG4,0.00031772220700273623
2532,SLC25A5,0.0003155403831955794
1357,LBH,0.0003092836517215891
2329,RPL7,0.0003052414448444479
1968,PLEC,0.00029917320773906365
1980,PLIN3,0.0002956262018107346
2117,PTMA,0.0002936124856926762
2317,RPL24,0.0002887090023757336
2254,RNASE6,0.0002837282035357585
1002,GLIPR1,0.00027665101493118817
580,CREG1,0.00027642072050499745
2222,RETN,0.0002759780200828274
1650,MYBL1,0.00027573448980484173
133,APBA2,0.00027229704582021715
507,CLUHP3,0.00026567154082345545
2280,RNH1,0.0002643798101820603
1811,NT5C3AP2,0.00026271260791874547
3121,ZAP70,0.00025958216167500716
2327,RPL5,0.00025859611534024364
399,CD160,0.00024985472364764326
564,COX7C,0.0002492283092650918
1075,GSTP1,0.0002450731544540153
2057,PRKCQ.AS1,0.0002407165480153965
1371,LGALS3,0.00024043952430487678
125,AP1S2,0.00023867446717591915
2311,RPL15,0.0002380245554809155
901,FCER1G,0.00023532109083404222
1922,PFN1,0.0002349782974713065
1776,NLRC3,0.0002333497395365458
2382,S1PR5,0.0002331732794472138
221,ATP5MC2,0.00022967392661532652
788,EIF3E,0.00022909002317065159
1193,IDH1,0.00022885711406394813
2480,SH2D1B,0.00022830267165705603
2332,RPLP0,0.00022802199084204027
2339,RPS20,0.00022120427252537376
2039,PPT1,0.00021887411967409353
1087,GZMH,0.00021803978824944397
1663,MYOF,0.00021672716639125692
503,CLTA,0.00021618099140085378
317,C1orf21,0.00021546870119642275
1689,NCALD,0.0002114859810445106
2454,SERPINB1,0.00021121093178793048
2685,STAT4,0.00020943964255851357
172,ARL4A,0.0002081460633399552
785,EIF3A,0.0002079390408526332
2760,TBX21,0.0002074985592904206
2897,TPP1,0.0001999920183410472
2479,SH2D1A,0.00019582572669854935
1923,PGAM1,0.0001954118510456756
910,FCRL6,0.00019326616714445687
3021,UQCRH,0.0001897833162651841
3109,YPEL1,0.00018658136516683265
838,EREG,0.00018513334572137902
1015,GMFG,0.00018312342077916185
459,CHCHD10,0.00018147935470418043
324,C4orf48,0.0001813859570702592
238,ATP6V1A,0.00017811159983525707
2743,TALDO1,0.00017612398643567057
1382,LILRB4,0.0001742461045900803
2031,PPP2R2B,0.00017097707457272508
918,FGD4,0.00016934486428097693
944,FOS,0.00016752863746521867
854,ETS2,0.00016748724990288652
2608,SNX10,0.0001669915975200792
643,CYFIP1,0.00016409261921876525
363,CAST,0.00016384717739230165
219,ATP5F1D,0.000157934779708624
347,CAPN12,0.00015581001413907835
1143,HLA.DRB1,0.00015376687255047442
1752,NFATC2,0.0001527216007487182
634,CXCL8,0.0001524190221605444
2056,PRKCQ,0.00015215422678969607
1482,MBD2,0.00015128166173896282
45,ADGRG1,0.0001492894917096239
1621,MT.ND4L,0.0001478554050080033
2326,RPL4,0.00014553667723071428
1074,GSTO1,0.00014402668381679722
684,DEK,0.00014335864731206463
2794,TIMP1,0.00014243011085470828
2512,SLAMF6,0.0001417901990222778
2243,RIN2,0.00014136349177207625
2787,TIGIT,0.00014105101258325055
506,CLU,0.00014048042064149
3103,YES1,0.00013939712149204966
929,FKBP5,0.00013930939028022185
2044,PRDX1,0.000138772099589336
1477,MARVELD1,0.0001380369118363775
423,CD86,0.0001375207023723871
1373,LGALS9,0.00013611466837081687
612,CTNNA1,0.000135441857803349
1679,NAMPT,0.00013476394884791925
1318,KLF12,0.00013461846086212627
2308,RP3.525N10.2,0.00013259807477488913
2482,SH3BGRL,0.00012914439697426272
2006,POU2F2,0.00012864862237583685
3097,XCL2,0.00012672770156011616
556,COX5A,0.00012505332870700803
743,DTHD1,0.00012445632708849637
3,ABCB1,0.0001239395089407154
1702,NCR3,0.00012305248912934216
1986,PLXNB2,0.00012041840817070638
2192,RASSF4,0.00012012172153946291
814,EMB,0.00011830407192729088
52,ADSS2,0.00011674833346602628
2731,SYTL2,0.00011464492766829272
348,CAPN2,0.00011165938133345556
2251,RNASE1,0.00010965600020371569
428,CDC42EP3,0.00010918938150132138
3083,WDFY3,0.00010887805717634903
1456,MAOA,0.00010809322505541548
741,DSC2,0.00010579180174221865
2174,RAC1,0.00010574881704173111
1701,NCR1,0.0001055477677524465
1327,KLRC1,0.00010529705073036651
1664,MYOM2,0.00010447112684271001
749,DUSP6,0.00010426257264498632
1434,LY86,0.00010412005772662825
2910,TRDC,0.00010403988441528679
2124,PTPRC,0.00010307406829363424
413,CD44,0.0001028743948846013
1736,NDUFS5,0.00010143764334898191
2474,SGK3,0.00010051294043635476
2069,PRSS23,9.948787481251371e-05
555,COX4I1,9.837496108524656e-05
1070,GSN,9.814076842278815e-05
1260,ITGB2,9.79691842429929e-05
2575,SMCO4,9.67960348030251e-05
792,EIF3K,9.662985583115216e-05
1913,PELATON,9.59357340871888e-05
2320,RPL27,9.464778170297827e-05
820,EMP3,9.441629937159597e-05
349,CAPNS1,9.38195603416663e-05
1042,GPBAR1,9.376873774998255e-05
2625,SOX4,9.144807929127227e-05
2709,SULF2,9.008983485222484e-05
3027,USP10,8.955276142807185e-05
1270,JAKMIP2,8.890255393505489e-05
