,genes,importance
0,CD3E,0.14593477157387827
1,CD8A,0.032317785389614447
11,GNLY,0.03051289965883465
2,NKG7,0.030389737846199694
4,GZMA,0.028878034001729485
5,DUSP2,0.024017801527817375
26,ARL4C,0.023229076269171634
29,CMC1,0.021146247304888458
212,CCL5,0.020842033056895113
19,HCST,0.01366759081349397
72,GZMM,0.012745803309161056
6,CD2,0.011703534930794726
7,IL32,0.01094212531427271
8,PYHIN1,0.010730438880510217
149,SLFN5,0.01013303620461234
49,PPP2R5C,0.0099594477978661
229,RPS27A,0.008630025972342342
3,GZMK,0.008615705061426856
23,XCL2,0.008395305561223745
163,SKAP1,0.0083498323391987
16,PIK3R1,0.0077173858566147125
159,LYAR,0.006861773387249487
32,TMIGD2,0.006823250159964567
17,PTPN4,0.006476880249944342
37,RPL14,0.006456303953063449
172,MBP,0.006195119538276598
107,RNF125,0.006140003076275011
129,EEF1A1,0.005999447914740577
25,RPS6,0.005814018626435354
113,RPS21,0.005785930028647793
73,RPS23,0.00540053860848073
190,RPSA,0.005270833875827445
124,TLE5,0.00517861277764253
18,OXNAD1,0.004701624681631183
15,RPL10A,0.004688289590125064
114,GZMH,0.004310795264144012
79,CASP8,0.004303982133964591
12,PAXX,0.004288311890004391
118,LITAF,0.004128327056809026
151,PRPF4B,0.003812039745652093
21,PTPRC,0.0037492383549247456
156,ACAP1,0.003552411547828901
64,S1PR5,0.003501124956157429
22,ZEB2,0.003425243490918749
119,RASSF1,0.0033417852012034704
205,CNOT6L,0.0032131989784132315
95,RPL36AL,0.0030617136824009536
198,H4C3,0.003035326299628845
99,SRSF7,0.003021633123270803
108,AAK1,0.0029604312297550053
238,ARHGAP9,0.002889899121652583
117,SNRPD2,0.0028609118455467193
247,ATXN7L3B,0.0027850733339312753
106,ARGLU1,0.002764882594249679
100,CCNL1,0.0027438493394295782
9,BTN3A2,0.0027370213905230116
121,RAC2,0.0026638574458251415
120,SRRM2,0.002618530426625412
150,SRSF3,0.0025645965504070235
56,PMAIP1,0.0025031870343932942
94,GSAP,0.0024735041278447886
137,POLR2L,0.0024488296112560857
122,GOLGA4,0.002419714284707487
243,SH2D1B,0.002382495701978424
109,HSPA5,0.0023809039126271984
139,HNRNPDL,0.0023800727691609667
10,FLNA,0.0023549823096611364
66,IKZF3,0.0023064816025617826
185,TRA2B,0.002239083876923785
178,SNHG6,0.0022358730931185257
123,SSR2,0.0022033866590557864
116,EMB,0.0021897091581268274
148,HIPK2,0.00218537707808727
173,SF1,0.0021689486111066635
39,NSA2,0.0021621409712626683
291,CLEC2B,0.002152839520211054
142,ELF1,0.0021511059914720563
125,ZRANB2,0.002138704887474665
294,SMARCA2,0.002137916902270053
128,H2AC20,0.0021358628810699025
112,SNRPB,0.002126559320540629
43,FNBP1,0.002122708813073377
104,YTHDC1,0.0021154903506859822
258,STAT4,0.0021108601368952135
296,C12orf57,0.0020979098884984213
50,CRTAM,0.0020955423160835597
193,PSME2,0.00204703959045197
254,DENND2D,0.002039549397334444
161,CHD2,0.0020227321867808032
131,HMGN1,0.002002318548408712
180,KIF2A,0.0019925435865841236
203,UBXN1,0.001986434350460732
135,CLK1,0.0019772360482248133
192,VPS13C,0.0019617768371894494
147,TAPBP,0.001945942555666322
168,ARID4B,0.0019410117246118814
76,MAFF,0.0019091752500064155
74,MYLIP,0.0019082643219702372
20,CREBRF,0.0019005002035586062
165,BST2,0.0018958676923505498
145,MZT2B,0.0018927693445993908
110,FAM107B,0.001868876910483058
166,COTL1,0.001868172162119709
54,TC2N,0.0018604039564563862
132,KTN1,0.0018448188929010183
102,TMC8,0.0018414703179186452
169,ILF3.DT,0.0018320694497899143
297,BAX,0.0018280401554566304
71,DRAP1,0.001819765430868628
270,GLG1,0.0018173804395042494
133,SEPTIN9,0.0018122068447606694
202,UBE2I,0.0018076339399987343
65,ENSA,0.00180517476202221
244,DYNC1H1,0.0017937415242180958
96,RNMT,0.0017902981979578663
214,SLTM,0.001782694580601723
181,ZFX,0.0017823415102722789
152,PRDM2,0.00177936341783881
85,CXXC5,0.001760560012471588
234,TMED10,0.0017565524892563143
77,SCML4,0.001751954530392684
155,RBM5,0.001745954102533811
92,RBBP4,0.0017446824173722657
295,PPM1G,0.0017428689098438744
98,MED10,0.0017296828704272493
298,PDGFD,0.0017295775602237397
13,HMGN3,0.001714664422743535
157,CYCS,0.0017091325228861377
215,FOXN3,0.0016819564163825442
170,MVD,0.0016737222322588867
208,LINC00869,0.0016685261804862584
68,CCT3,0.0016641071561587421
141,BIRC6,0.001662230967766177
184,PHF20,0.0016617479938152687
262,TLE1,0.0016508013725404424
226,SUPT16H,0.001648838250457021
89,TAF1D,0.001646646636861205
269,TAF15,0.0016440975434071168
280,RFC1,0.0016368760640130724
171,GATAD2A,0.0016338267053043949
218,RICTOR,0.0016318252498077027
83,SOCS1,0.0016270984536879503
183,HMOX2,0.0016229764467074117
27,SYTL1,0.001621828598022071
115,SETD2,0.0016186407755699112
111,LSM8,0.0016177031616345133
144,USP16,0.0016141623812665398
261,CTBP2,0.0016114207701258716
91,WDR82,0.0016070375135118025
38,EXOSC6,0.0016029156736024916
222,RBMX,0.0016019791819285516
103,ATP2B4,0.0015998493379159127
265,GABPB1.AS1,0.0015911338420803538
87,SAR1A,0.001589397852997075
34,IER5,0.0015889051190535967
162,CRIP1,0.0015877827645202733
230,NASP,0.0015873643035855805
255,AIP,0.0015781707040280937
130,TPP2,0.0015708351551336644
287,SFSWAP,0.0015563162063469444
206,LMAN2,0.0015513630984812154
101,TRG.AS1,0.0015513496040704495
127,TOX4,0.0015468884871299687
153,SLU7,0.0015398834593860224
41,DMTF1,0.0015391280813133144
300,PEBP1,0.001537151146965916
24,FRYL,0.0015285933983728032
105,PPP1R15B,0.0015281875416444277
80,XCL1,0.00151819016435836
140,TMED9,0.0015029028967811144
282,ZC3H18,0.0015002291044741718
199,COQ7,0.0014982341342189259
196,ABCF1,0.0014916366436463298
160,CHURC1,0.0014906878988871289
48,GATA3,0.001476848302295646
40,SMC3,0.0014705319467360916
249,SRP9,0.0014625066679547268
186,DENR,0.0014616525558894939
84,CLPP,0.0014598797916439998
30,RASSF5,0.0014588960743988633
69,STUB1,0.0014579773501337922
